camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Camp Darling,a1XVI00000FMNOj2AP,7:15 & C,1,0,0,,,,,,,Reno,,,yes
Joie de Vivre,a1XVI00000FMNRx2AP,3:45 & D,1,0,0,https://www.joiedevivrecamp.com,joiedevivrecamp,groups,,,redacted@example.invalid,New York/Los Angeles,,,yes
PlovKraft,a1XVI00000FMNjh2AH,7:30 & Esp,1,0,1,,plovkraftbm,,,,redacted@example.invalid,BURBANK,yes,,yes
dust & stars,a1XVI00000FMOKn2AP,7:30 & Esp,1,0,0,https://dust-and-stars.com,,2008,,,,los angeles,yes,,yes
The Den,a1XVI00000FMOW52AP,8:45 & C,1,1,0,http://www.lovepuddle.net,,,,,redacted@example.invalid,Santa Cruz,yes,,yes
Temple Camp,a1XVI00000FMPVN2A5,2:45 & E,1,0,0,https://2026temple.com,,,,,redacted@example.invalid,Oakland,yes,,yes
Parley,a1XVI00000FMPqL2AX,3:45 & E,1,1,0,,https://www.instagram.com/campparley,,,,,Austin,,,yes
Aah Wonder,a1XVI00000FMPyP2AX,4:45 & C,1,0,0,,,,,,,Mountain View,,,yes
Havana Nights,a1XVI00000FMQhZ2AX,9:15 & B,1,0,1,,,HavanaNightsParty,,,redacted@example.invalid,"Dallas, Texas",,,yes
Ready Playa One,a1XVI00000FMQmP2AX,9:45 & I,1,0,0,,,,,,redacted@example.invalid,Los Angeles,,,yes
The Fountain (of youth),a1XVI00000FMQo12AH,6:15 & E,1,1,0,https://laurion.notion.site/The-Fountain-Camp-Burning-Man-2025-af5a869ca1e54083951ec8f2c90fc6b3?pvs=4,,,,,redacted@example.invalid,San Francisco,yes,,yes
Hard as a Rock,a1XVI00000FMR492AH,6:15 & C,1,1,0,,,,,,redacted@example.invalid,El Paso,yes,,yes
Argonauts,a1XVI00000FMRto2AH,5:15 & B,1,0,0,,,argonautsunited,,,,Los Altos Hills,,,yes
ADHz,a1XVI00000FMSmb2AH,2:00 & H,1,0,1,,,,,,,San Francisco,,,yes
Disfunktion,a1XVI00000FMTh32AH,9:00 & E,1,0,1,,,,,,redacted@example.invalid,Chamonix,,,yes
The Sound Garden,a1XVI00000FMTnV2AX,2:00 & E,1,0,1,,https://www.instagram.com/thesoundgardenevents?igsh=MWNmdnJiOHFjYmxobg==,,,,redacted@example.invalid,San Francisco California,,,yes
Rumpus,a1XVI00000FMWtR2AX,3:00 & C,1,0,0,,,,,,,Boulder,,,yes
Fast & Bi-Curious,a1XVI00000FMXO52AP,3:45 & B,1,0,0,,,,,,,Oakland,,,yes
3907,a1XVI00000FMasD2AT,5:00 & A,1,0,0,,,camp3907,,,redacted@example.invalid,"Bishop, California",,,yes
Martha Love,a1XVI00000FMcVs2AL,2:45 & D,1,0,0,,,,,,,Sacramento,yes,,yes
Black Rock Public Library,a1XVI00000FMepN2AT,6:15 & D,1,0,0,https://blackrockpubliclibrary.org,,,,,redacted@example.invalid,San Francisco,yes,,yes
Atom Cult,a1XVI00000FMh0r2AD,7:45 & E,1,0,0,http://www.atomcult.com/,,,,,redacted@example.invalid,San Diego,,,yes
planet wood collective,a1XVI00000FMhyX2AT,4:15 & A,1,0,0,,planreglab,,,,,San Francisco,yes,,yes
Burning Man T-Shirt Factory,a1XVI00000FMlAv2AL,6:45 & B,1,0,0,,,,,,redacted@example.invalid,"San Jose, CA",,,yes
Backstage,a1XVI00000FMmN72AL,9:30 & E,1,0,1,,https://www.instagram.com/campbackstage,,,,,San Francisco,,,yes
Dusty Delight,a1XVI00000FMuUL2A1,7:00 & D,1,0,1,http://www.dustydelight.com,,,,,redacted@example.invalid,New York metro,yes,,yes
Camp VRC,a1XVI00000FMvJx2AL,6:15 & F,1,0,0,,,,,,redacted@example.invalid,Reno,,,yes
GDI's - Gawd Damn Independents,a1XVI00000FMvLZ2A1,8:15 & G,1,1,0,https://gallery.burningman.org/asset/a41c5ae6-7cf0-4638-aa0c-459e2f813f35?i=21&q=mark+mennie,burningman,burningman,,,redacted@example.invalid,Reno,yes,,yes
Spoonful of Friends,a1XVI00000FMyJR2A1,7:15 & C,1,0,0,https://elated-rubidium-d8e.notion.site/Spoonful-of-Friends-0023f57fdfac4e619d8f41c07878074c,,,,,redacted@example.invalid,San Francisco,yes,,yes
Black Rock Roller Disco,a1XVI00000FNOBK2A5,7:00 & Esp,1,0,1,http://www.churchof8wheels.com/BlackRRD2022.html,,,,,redacted@example.invalid,San Francisco,yes,,yes
Rooftop Frose,a1XVI00000FNtsn2AD,4:45 & F,1,0,0,,,,,,,Tucson,yes,,yes
StarPups,a1XVI00000FOTmb2AH,4:15 & F,1,0,0,,,,,,,Golden,,,yes
Art for Art's Sake,a1XVI00000FOZiL2AX,4:45 & C,1,1,0,,,,,,redacted@example.invalid,San Anselmo,,,yes
Deep Ohm,a1XVI00000FP7KD2A1,4:30 & B@ 3:45,1,0,0,,burnie_the_bonfire_art_car,,,,,San Francisco,,,yes
Bubbles and Bass,a1XVI00000FP9FZ2A1,8:15 & Esp,1,0,1,http://bubblesandbass.com,bubbles.and.bass,Bubblesandbass,bubbles-and-bass,,redacted@example.invalid,New York,yes,,yes
CornHub,a1XVI00000FPIVl2AP,5:00 & A,1,0,0,https://campcornhub.com,,,,,redacted@example.invalid,Los Angeles,,,yes
Bisous,a1XVI00000FPdYb2AL,8:45 & E,1,0,1,,,,,,redacted@example.invalid,San Francisco,yes,,yes
Heart of Parkness,a1XVI00000FQtwH2AT,7:45 & A,1,0,1,,,https://www.facebook.com/heartofparkness/,,,,San Francisco,yes,,yes
The Veil,a1XVI00000FRDIH2A5,7:00 & C,1,0,0,,,,,,,Redding,,,yes
Bubble Lounge,a1XVI00000FRY3N2AX,7:30 & B@ 3:45,1,0,1,https://thebubblelounge.net,,2008,,,redacted@example.invalid,Gerlach,yes,yes,yes
Queertirement,a1XVI00000FS4jB2AT,7:00 & F,1,0,1,http://www.genderillumination.com,,2008,,,,San Fransisco,,,yes
Bmir,a1XVI00000FSXmv2AH,5:45 & Esp,1,0,1,http://www.bmir.org,bmir_fm,BurningManInformationRadio,,,redacted@example.invalid,Black Rock City,,,yes
Felis Mundi,a1XVI00000FSXnK2AX,6:00 & Esp,1,1,0,,,,,,,,,,yes
Playa Info/VRT,a1XVI00000FSXnb2AH,5:45 & Esp,1,0,0,https://burningman.org/event/participate/volunteering/teams/playa-info/,burningman,burningman,,,redacted@example.invalid,"Gerlach, NV",,,yes
Ranger Headquarters,a1XVI00000FSXne2AH,6:30 & Esp,1,1,0,https://rangers.burningman.org,,,,,redacted@example.invalid,Black Rock City,,,yes
Recycle Camp,a1XVI00000FSXnh2AH,5:45 & Esp,1,0,0,,,recyclecamp,,,redacted@example.invalid,Oakland,,,yes
This Is It,a1XVI00000FSdgv2AD,6:45 & A,1,0,0,,,DaDirtyHands,,,redacted@example.invalid,Black Rock City,,,yes
Our Own Devices,a1XVI00000FT2SP2A1,4:15 & A,1,0,0,https://www.deldiosglasshouse.com/stuff-weve-made/our-own-devices,,,,,redacted@example.invalid,San Diego,yes,,yes
PlayaDough,a1XVI00000FToNN2A1,5:45 & G,1,0,1,,,,,,,San Francisco Bay Area,,,yes
La Calaca Village,a1XVI00000FTzPF2A1,4:00 & F,1,0,0,https://lacalacavillage.com/,,2008,,,redacted@example.invalid,"Empire, NV",yes,,yes
Counter Culture,a1XVI00000FUwVl2AL,6:45 & C,1,1,1,,,,,,,Richmond,,,yes
Struggletown Station,a1XVI00000FW7gr2AD,2:45 & E,1,0,1,,strugglebus_driver,,,,redacted@example.invalid,Goodyear,,,yes
Extinct Oasis,a1XVI00000FWqcL2AT,8:45 & B,1,0,1,,,,,,,Summit County,,,yes
Bubblegasm,a1XVI00000FY8lh2AD,7:15 & F,1,0,1,,,,,,,Reno,,,yes
Draft Punk,a1XVI00000FcDoP2AV,9:00 & E,1,0,0,,,,,,,San Diego,yes,,yes
Kaya,a1XVI00000Fh86X2AR,9:45 & A,1,0,0,https://www.kayafoundation.org/,,,,,redacted@example.invalid,Detroit,yes,,yes
For the Glory of The C Ship,a1XVI00000Fj28H2AR,2:15 & G,1,0,1,https://thecrystalshipartcar.net/,,,,,,Ukiah,,,yes
Midas Tear Collective,a1XVI00000FwV9F2AV,6:15 & E,1,0,0,https://the-tears-of-midas.pro/,,,,,redacted@example.invalid,BELLOC City,,,yes
Hushville,a1XVI00000G1s5B2AR,4:45 & F,1,0,0,https://www.hushville.org/,,,,,redacted@example.invalid,Hillsboro,yes,,yes
The Shuttle Home,a1XVI00000FBJ8L2AX,9:15 & F,0,0,0,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Felangy,a1XVI00000FBJMr2AP,7:45 & B,0,0,0,,,,,,,Zurich,,,yes
Zeta zone,a1XVI00000FBJZl2AP,7:45 & D,0,0,0,,,,,,,Redmond,,,yes
Kuker Camp,a1XVI00000FBJeb2AH,6:15 & G,0,0,0,https://kuker.org/,,KukerArtCar,,,redacted@example.invalid,Westminster,yes,,yes
Squeeze the Day,a1XVI00000FBKFh2AP,3:45 & B,0,0,0,,,,,,,San Francisco Bay Area,,,yes
Tabernacle,a1XVI00000FBKcH2AX,10:00 & E,0,0,0,,,,,,,Thermal,,,yes
Camp Balagan,a1XVI00000FBMJ72AP,9:30 & E,0,0,0,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Blue CATerpillar,a1XVI00000FBeRJ2A1,9:30 & C,0,0,0,,https://www.instagram.com/blue.caterpillar.camp,,,,,San Francisco,,,yes
Knot Sure,a1XVI00000FBfiL2AT,6:00 & D,0,0,0,,,,,,redacted@example.invalid,Watsonville,,,yes
Joyism MVSC,a1XVI00000FBg6X2AT,4:15 & E,0,0,0,http://www.joyism.org,,,,,redacted@example.invalid,"Santa Cruz, CA",,,yes
The Glorious Wet Spot,a1XVI00000FBhSP2A1,3:15 & F,0,0,0,,,,,,,Seabeck,yes,,yes
Westlandia,,9:15 & F,0,0,0,,,,,,,,,,yes
noMADart,a1XVI00000FBhvR2AT,8:15 & C,0,0,0,,,,,,redacted@example.invalid,Forestville CA,yes,,yes
Fokaround,a1XVI00000FBwCv2AL,9:15 & F,0,0,0,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Khaleeya,a1XVI00000FC1Cb2AL,9:15 & E,0,0,0,https://khaleeya.org/,khaleeyalounge,,,,redacted@example.invalid,Los Angeles,,,yes
tiny camp,a1XVI00000FC7GP2A1,9:15 & J,0,0,0,,,,,,,"Oakland, CA",,,yes
Black Karma,a1XVI00000FC7uj2AD,6:15 & D,0,0,0,https://blackkarma.camp/,,,,,,Miami,,,yes
Hug cabana camp,a1XVI00000FC7xx2AD,4:45 & C,0,0,0,,,,,,,Nevada city,,,yes
Camp Zoombox,a1XVI00000FCEBR2A5,2:15 & F,0,0,0,,,,,,redacted@example.invalid,Boise,,,yes
Foreskin,a1XVI00000FCEhh2AH,2:45 & C,0,0,0,,,,,,,Brooklyn,yes,,yes
Scorpion Walks,a1XVI00000FCGrZ2AX,2:45 & E,0,0,0,,,,,,,Mill Valley,,,yes
French Fruits,a1XVI00000FCKyP2AX,8:00 & D,0,0,0,,,,,,,Paris,,,yes
Camp Cosmo,a1XVI00000FCL3F2AX,7:15 & D,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,yes,,yes
Vamp Camp,a1XVI00000FCLMb2AP,9:45 & C,0,0,0,,,groups,,,redacted@example.invalid,Northern Nevada,yes,,yes
Camp Elektra,a1XVI00000FCMIf2AP,9:15 & J,0,0,0,,,,,,,Munich,,,yes
Alter Ego,a1XVI00000FCMqX2AX,4:00 & A,0,0,0,https://www.alteregocamp.com,,,,,redacted@example.invalid,RENO,,,yes
Chariot Project,a1XVI00000FCaWv2AL,6:30 & A,0,0,0,https://burningchariots.com/,chariotproject,chariotproject,,,redacted@example.invalid,Reno,,,yes
GlouGlou Art,a1XVI00000FCxy92AD,CC@ 4:00,0,0,0,https://www.glouglou.art,,,,,redacted@example.invalid,Paris,,,yes
Snow Chance,a1XVI00000FD1Yj2AL,8:30 & B,0,0,0,,,,,,,"Winnemucca, NV",,,yes
Temple Oasis,a1XVI00000FD2BR2A1,5:15 & A,0,0,0,https://templeguardians.burningman.org/temple-guardians-support-camp-temple-oasis/,,,,,redacted@example.invalid,Gerlach,yes,,yes
Gypsy Monkey Carnival,a1XVI00000FDQs52AH,3:00 & F,0,0,0,,,,,,redacted@example.invalid,GRANTS PASS,,,yes
Shanty Town,a1XVI00000FDczh2AD,5:45 & D,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,,,yes
machinedom - the experience,a1XVI00000FDd1J2AT,5:45 & H,0,0,0,,,,,,,Reno,,,yes
Jitters & Bitters,a1XVI00000FDdKf2AL,2:45 & E,0,0,0,,,,,,,San Francisco,,,yes
SomeDay Isle ...,a1XVI00000FDemz2AD,8:00 & B,0,0,0,,,,,,,"Meadow Vista, CA",yes,,yes
Elixai Dust Tribe,a1XVI00000FEEiP2AX,10:00 & G,0,0,0,,,,,,,Miami Florida,,,yes
Three of Cups,a1XVI00000FEbVJ2A1,7:45 & B,0,0,0,,,,,,redacted@example.invalid,"San Francisco, Denver, Phoenix",,,yes
InfiniTea,a1XVI00000FEn8H2AT,6:45 & F,0,0,0,https://healingplayshop.godaddysites.com/,,,,,redacted@example.invalid,Denver,,,yes
Axis of Stillness,a1XVI00000FEphx2AD,4:45 & F,0,0,0,https://mityaart.com,,,,,redacted@example.invalid,Novato,,,yes
Lily Pad Lounge,a1XVI00000FF70X2AT,4:15 & F,0,0,0,,,,,,,Emeryville,,,yes
El Pulpo Magnifico,a1XVI00000FFJJR2A5,9:30 & K,0,0,0,,https://www.instagram.com/elpulpomecanico/,,,,,Eureka,,,yes
More Is More,a1XVI00000FFWN72AP,8:45 & F,0,0,0,,,,,,,Los Angeles,,,yes
Red Rooster Ranch,a1XVI00000FFac12AD,3:45 & F,0,0,0,,,groups,,,,Reno,,,yes
DJ University,a1XVI00000FFb532AD,8:45 & E,0,0,0,,,,,,,Los Angeles,yes,,yes
The Hand Lovers Lounge,a1XVI00000FFh8r2AD,6:30 & E,0,0,0,,,,,,redacted@example.invalid,Tucson,,,yes
DraKasha,a1XVI00000FFsdl2AD,9:45 & I,0,0,0,,,,,,,,,,yes
7 Sirens Cove,a1XVI00000FFstt2AD,7:00 & A,0,0,0,http://www.7sirenscove.com,,,,,redacted@example.invalid,Bay Area,,,yes
Duane's Whirld,a1XVI00000FG2GX2A1,9:15 & J,0,0,0,http://DuanesWhirld.com/,,,,,redacted@example.invalid,Burlington,,,yes
Metal Detected,a1XVI00000FG39N2AT,5:30 & C,0,0,0,,,https://www.facebook.com/groups/697322019705172,,,,Reno,yes,,yes
Baby Boomer Burners,a1XVI00000FG3Kf2AL,,0,0,0,,,,,,,Reno Nevada,yes,,yes
Camp Do Nothing,a1XVI00000FG3vl2AD,3:00 & D,0,0,0,,,,,,redacted@example.invalid,Seattle,yes,,yes
Snacklandia,a1XVI00000FGDlR2AX,5:45 & B,0,0,0,,,,,,,SF/NJ/Japan,yes,,yes
Slayer!,a1XVI00000FGOKH2A5,6:00 & C,0,0,0,,,,,,redacted@example.invalid,Sacramento,,,yes
Bar Fallover,a1XVI00000FGaID2A1,4:15 & E,0,0,0,https://barfallover.com/,,,,,,Montreal,,,yes
Camp Stranger Things,a1XVI00000FGrCb2AL,2:45 & B,0,0,0,,,,,,,"Bozeman, Montana",,,yes
Homebrew 4A Homebrew,a1XVI00000FGy7d2AD,CC@ 6:30,0,0,0,,,groups,,,redacted@example.invalid,Sparks,yes,,yes
Putt Putt Palace,a1XVI00000FH4Ef2AL,8:45 & E,0,0,0,,,,,,,Los Angeles,yes,,yes
Camp P3,a1XVI00000FHKJR2A5,7:45 & E,0,0,0,,,,,,redacted@example.invalid,Denver,yes,,yes
VorteXXX,a1XVI00000FHOmr2AH,6:00 & G@ 5:15,0,0,0,,,,,,,San Francisco &Los Angeles,,,yes
Spaced Out,a1XVI00000FHUST2A5,9:45 & D,0,0,0,,,,,,,Patras,,,yes
Sphere Vision,a1XVI00000FHXer2AH,3:15 & E,0,0,0,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
TOWER69,a1XVI00000FHYEL2A5,9:45 & G,0,0,0,,https://www.instagram.com/tower69_artcar?igsh=NTc4MTIwNjQ2YQ==,,,,redacted@example.invalid,Los Angeles,,,yes
Swan Forest,a1XVI00000FHYFx2AP,2:30 & F,0,0,0,https://www.swanforestcamp.com,,,,,,Las Vegas,,,yes
DK50 Trash Fence Camp,a1XVI00000FHYPd2AP,9:15 & J,0,0,0,,,,,,,Jersey,,,yes
Bumpbed,a1XVI00000FHZ3x2AH,9:45 & H,0,0,0,,bumpbed,,,,,Discovery Bay,yes,,yes
SP Station,a1XVI00000FHnOf2AL,,0,0,0,,,,,,,Los Angeles,yes,,yes
Hel's Diner,a1XVI00000FHqT12AL,6:45 & F,0,0,0,"http://www.campporta.org,%20www.helsdiner.com",,,,,redacted@example.invalid,Gerlach,yes,,yes
Hookers & Peggers Naughty Cafe,a1XVI00000FI5AH2A1,5:15 & C,0,0,0,,,,,,redacted@example.invalid,San Jose,,,yes
Fusion Valley,a1XVI00000FI5gX2AT,2:30 & B,0,0,0,https://fusionvalley.net/,,,,,redacted@example.invalid,Gerlach,,,yes
Tarwater,a1XVI00000FI8Pt2AL,5:30 & B,0,0,0,,,,,,redacted@example.invalid,santa rosa,yes,,yes
Firefly Solar,a1XVI00000FI8Uj2AL,7:15 & F,0,0,0,,,,,,,Los Angeles,,,yes
Atmosbhear,a1XVI00000FI8mT2AT,4:15 & B,0,0,0,,,,,,,New York,,,yes
House Of Skin,a1XVI00000FI95p2AD,9:45 & C,0,0,0,,,,,,,Spokane,yes,,yes
Bikini Bottom(less),a1XVI00000FI9932AD,6:45 & F,0,0,0,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Castra Ursi,a1XVI00000FI9Af2AL,4:00 & F,0,0,0,https://www.jenlewinstudio.com/portfolio/the-ursas-coming-soon/,jenlewinstudio,JenLewinStudio,,,redacted@example.invalid,New York City,,,yes
OHF- One Human Family,a1XVI00000FI9KL2A1,7:15 & C,0,0,0,,,https://www.facebook.com/groups/733897808143548,,,redacted@example.invalid,"Macedonia,UK,Norway,Spain,USA,Austria,",yes,,yes
Do not confuse here,a1XVI00000FI9SP2A1,8:45 & A,0,0,0,,,,,,,San Francisco,,,yes
Frybread and Friends,a1XVI00000FI9Vd2AL,7:15 & A,0,0,0,,,,,,redacted@example.invalid,wadsworth NEVADA,,,yes
Camp Nafas,a1XVI00000FI9gv2AD,8:15 & E,0,0,0,,,,,,,"San Francisco, Bay Area",,,yes
Kumaya,a1XVI00000FIYFV2A5,4:15 & F,0,0,0,https://kumayacamp.com/,,,,,,New York,,,yes
Cuttlefish Homebase,a1XVI00000FIZ0H2AX,3:15 & E,0,0,0,,https://www.instagram.com/cuttlefishartcar,,,,redacted@example.invalid,Santa Rosa,,,yes
Kombuchachacha,a1XVI00000FIaVp2AL,2:45 & D,0,0,0,,,,,,,Menlo Park,yes,,yes
Black Rock Socks,a1XVI00000FIsMH2A1,8:15 & C,0,0,0,,,,,,,Los Angeles,,,yes
Dune Dwellers,a1XVI00000FIxPB2A1,2:45 & E,0,0,0,,,,,,,South Ogden,,,yes
Altitude Lounge,a1XVI00000FIyJd2AL,8:15 & B,0,0,0,,,loungeluv,,,,Boise,,,yes
Xpat Alien,a1XVI00000FJ1RB2A1,6:30 & C,0,0,0,http://xpatalien.com,,2008,,,redacted@example.invalid,denver,yes,,yes
Hakuna Matata,a1XVI00000FJ1iv2AD,9:45 & G,0,0,0,https://hakuna-matata.camp/,hakuna_matata_bm,,,,redacted@example.invalid,Miami,,,yes
Bone Voyage,a1XVI00000FJ2DZ2A1,7:45 & F,0,0,0,,https://www.instagram.com/the.bone.voyage,,,,,Walnut Creek,,,yes
"Hello, Brooklyn",a1XVI00000FJ2FB2A1,4:15 & C,0,0,0,,,,,,,New Orleans,yes,,yes
Star Jelly,a1XVI00000FJ2bl2AD,6:15 & F,0,0,0,,,,,,,San Francisco,,,yes
Pickleback Oasis,a1XVI00000FJFwG2AX,6:15 & B,0,0,0,,,https://www.facebook.com/profile.php?id=61560738723251,,,,"Wentzville, Missouri",,,yes
Reno Housewives,a1XVI00000FJImz2AH,7:15 & C,0,0,0,,,,,,redacted@example.invalid,Reno,,,yes
Glorious Gilded Alchemy,a1XVI00000FJNmf2AH,4:15 & C,0,0,0,https://goldenguyalley.com,,,,,redacted@example.invalid,San Diego,yes,,yes
Kinky Pizza,a1XVI00000FJSET2A5,2:30 & D,0,0,0,,playa_pizza_portage,,,,redacted@example.invalid,San Mateo,,,yes
Dusty Beavers,a1XVI00000FJUUn2AP,5:15 & F,0,0,0,,,TheDustyBeavers,,,redacted@example.invalid,Montreal,,,yes
Atomic Octopus,a1XVI00000FJZMP2A5,3:15 & B,0,0,0,https://brainy.bar,,,,,,Las Vegas,,,yes
Kamp Kit,a1XVI00000FJadR2AT,3:30 & B,0,0,0,,,,,,,Reno,,,yes
Parliament Art Crew,a1XVI00000FJkGD2A1,6:45 & B,0,0,0,,,leaveittonino,,,redacted@example.invalid,Los Angeles,,,yes
Cereal Thrillers,a1XVI00000FJlXF2A1,CC@ 10:15,0,0,0,,,,,,,Ocala,yes,,yes
Cosplay Central,a1XVI00000FJmpt2AD,6:15 & F,0,0,0,,,,,,,Irvine,yes,,yes
The Dusty Nuts Tavern,a1XVI00000FJoi12AD,2:30 & A,0,0,0,http://www.dustynutstavern.com/,,,,,redacted@example.invalid,San Jose,,,yes
Slow the Fuck Down,a1XVI00000FJpRB2A1,6:45 & D,0,0,0,,,,,,,San Francisco,,,yes
Camp Ply Curious,a1XVI00000FJpSn2AL,CC@ 11:00,0,0,0,,,,,,redacted@example.invalid,Murphys,yes,,yes
Whomp Wagon,a1XVI00000FJt092AD,9:45 & I,0,0,0,https://whompwagon.com,whompwagon,1423104401287515,,,redacted@example.invalid,RENO,,,yes
Hiburnia,a1XVI00000FJtub2AD,8:45 & J,0,0,0,,,,,,redacted@example.invalid,"Lafayette, CA",yes,,yes
Skinny Kitty Teahouse,a1XVI00000FK1NV2A1,3:00 & E,0,0,0,http://skinnykittyteahouse.com/,,,,,redacted@example.invalid,Ukiah,,,yes
Mechanical Garden,a1XVI00000FK1gr2AD,4:45 & F,0,0,0,,,,,,redacted@example.invalid,Carmel,yes,,yes
Only mEmbers,a1XVI00000FK1qX2AT,6:15 & G,0,0,0,,,,,,redacted@example.invalid,Chicago,,,yes
Jelly Dance,a1XVI00000FK2BV2A1,4:30 & E,0,0,0,,,,,,,San Francisc,,,yes
Camp Emergency,a1XVI00000FK2Mn2AL,8:00 & B,0,0,0,https://thelovetram.com/,,,,,redacted@example.invalid,"Truckee, CA",yes,,yes
Misfits Menagerie,a1XVI00000FK2TF2A1,6:30 & E,0,0,0,,,,,,,Las Vegas,,,yes
SoundCloud,a1XVI00000FK2pp2AD,9:30 & D,0,0,0,,,,,,redacted@example.invalid,New York,,,yes
Leopard Martini Lounge,a1XVI00000FKFqH2AX,5:30 & A,0,0,0,,,,,,,Palo Alto,,,yes
The Last Starfighters,a1XVI00000FKGWD2A5,3:15 & D,0,0,0,https://www.solarlibrary.info,squarespace,2008,,,redacted@example.invalid,Austin,,yes,yes
G,a1XVI00000FKIcr2AH,9:45 & F,0,0,0,http://gspotbm.com,,,,,redacted@example.invalid,New York,,,yes
Eyeris,a1XVI00000FKL2r2AH,4:45 & F,0,0,0,,,,,,,"Red Bluff, CA",,,yes
Hot Shots,a1XVI00000FKLZ72AP,8:15 & A,0,0,0,,,,,,,Los Angeles,,,yes
Kids Kamp,a1XVI00000FKP4r2AH,6:15 & F,0,0,0,,,,,,,,yes,,yes
Impromptu Tomato,a1XVI00000FKUxN2AX,5:15 & C,0,0,0,https://youtu.be/w0RNr7hjcgk?si=lSf6K-lZnLLUcC1z,,,,,,"Olympic Peninsula, WA",,,yes
Yummm,a1XVI00000FKUz02AH,4:45 & A,0,0,0,,,,,,,San Francisco,,,yes
Betty's Bike Shop,a1XVI00000FKV5R2AX,7:45 & C,0,0,0,http://burnerbikesurvival.com,,,,,,Federal Way - Auburn,,,yes
Vomiting Sparrows,a1XVI00000FKWG12AP,8:30 & B,0,0,0,,,,,,,Portland,,,yes
Camp Piper,a1XVI00000FKa8L2AT,7:45 & B,0,0,0,,,,,,,Amsterdam,,,yes
Camp Shit Ain't Right,a1XVI00000FKahp2AD,5:45 & A,0,0,0,,,,,,,Pinedale,,,yes
Loadie Camp,a1XVI00000FKbsP2AT,2:15 & A,0,0,0,,,https://www.facebook.com/groups/144861568869094/,,,,Arlington,,,yes
Wasted Sunshine,a1XVI00000FKc0T2AT,8:15 & E,0,0,0,,,,,,,San Diego,,,yes
Camp Summer Camp,a1XVI00000FKc252AD,2:45 & E,0,0,0,,,,,,redacted@example.invalid,San Francisco,,,yes
Black Rock City Welding & Repair,a1XVI00000FKc6v2AD,3:30 & A,0,0,0,,,,,,,Portland,yes,,yes
Ataraxia,a1XVI00000FKc8X2AT,2:15 & Esp,0,0,0,,https://www.instagram.com/camp_ataraxia/,,,,redacted@example.invalid,San Francisco,,,yes
Mo's Mini Martini + Erotica Camp,a1XVI00000FKcBl2AL,9:00 & Esp,0,0,0,,,,,,redacted@example.invalid,Santa Cruz,,,yes
Candyland,a1XVI00000FKcID2A1,4:30 & G@ 8:15,0,0,0,,,,,,redacted@example.invalid,Steamboat Springs,yes,,yes
Indigo's Speakeasy,a1XVI00000FKcgP2AT,3:45 & C,0,0,0,,,,,,,SF Bay Area,yes,,yes
Oh No You Didn't!,a1XVI00000FKd9R2AT,9:30 & B,0,0,0,,,camp.oh.no.you.didnt,,,redacted@example.invalid,Santa Rosa,yes,,yes
Amateur Hour Playa Pub,a1XVI00000FKdB32AL,2:00 & B,0,0,0,,,,,,redacted@example.invalid,Danville,,,yes
Intergalactic,a1XVI00000FKdKj2AL,2:15 & F,0,0,0,,,,,,redacted@example.invalid,Los Angeles,,,yes
What Would You Do For A Pickle?,a1XVI00000FKdML2A1,5:15 & F,0,0,0,,,picklecamp,,,redacted@example.invalid,San Francisco,,,yes
The Enclave,a1XVI00000FKdNx2AL,6:30 & D,0,0,0,,,theenclavesb,,,,Santa Barbara,yes,,yes
Twats Your Gender?,a1XVI00000FKdSn2AL,9:45 & C,0,0,0,,,,,,,San Francisco,,,yes
Pookah Lounge/SNAFUBAR,a1XVI00000FKdZF2A1,7:15 & E,0,0,0,,,pookahlounge,,,redacted@example.invalid,Los Gatos,,,yes
Hydration Station,a1XVI00000FKlYR2A1,4:30 & D,0,0,0,,,,,,redacted@example.invalid,Salt Lake City,,,yes
Oral Fixation,a1XVI00000FKmRF2A1,2:15 & I,0,0,0,,,,,,,Eugene,,,yes
Popsicle Bahrrr,a1XVI00000FKmnp2AD,2:00 & B,0,0,0,,,,,,redacted@example.invalid,Minneapolis,,,yes
Bitchin' Braid Camp,a1XVI00000FKmr32AD,3:00 & G@ 3:45,0,0,0,https://sites.google.com/site/braidcamp,,,,,redacted@example.invalid,Reno,yes,,yes
Mouse House,a1XVI00000FKmuH2AT,7:15 & C,0,0,0,,,,,,,Seattle,,,yes
Flybynyte,a1XVI00000FKmxV2AT,Airport,0,0,0,,,,,,redacted@example.invalid,Los Angeles,,,yes
DeMentha,a1XVI00000FKn0j2AD,3:00 & Esp,0,0,0,http://www.dementha.com,dementha_official,,,,redacted@example.invalid,San Francisco,yes,,yes
Latica,a1XVI00000FKn3x2AD,3:45 & C,0,0,0,,,,,,redacted@example.invalid,Miami,yes,,yes
